,label,mpid,formula,chemsys,energy,shift,miller,top,0group,0period,0en,0upd,1group,1period,1en,1upd,2group,2period,2en,2upd,3group,3period,3en,3upd,4group,4period,4en,4upd,5group,5period,5en,5upd,6group,6period,6en,6upd,7group,7period,7en,7upd,8group,8period,8en,8upd,9group,9period,9en,9upd,10group,10period,10en,10upd,11group,11period,11en,11upd
0,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.053317265000006,0.0,8,0,9,4,1.88,3,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
3,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.198376644999998,0.0,8,1,9,4,1.88,3,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
8,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.326547934999981,0.9130353725,6,0,9,4,1.88,3,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0
9,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.134865094999997,0.046289685,2,0,9,4,1.88,3,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0
11,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.162106115000002,0.0380353725,4,0,13,3,1.61,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,9,4,1.88,3,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
13,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.146737474999982,0.055555555555555,9,1,9,4,1.88,3,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0
14,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.312974945000009,0.25,2,0,14,3,1.9,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
15,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.015460945000003,0.166666666666666,9,0,9,4,1.88,3,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,13,3,1.61,0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792
18,1,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",-0.127704894999995,0.25,2,0,13,3,1.61,0,9.0,4.0,1.88,3.0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,9,4,1.88,3,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,13.0,3.0,1.61,0.0,13.0,3.0,1.61,0.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0
19,0,mp-10010,Al(CoSi)2,"['Al', 'Co', 'Si']",0.353207045000002,0.0,5,0,13,3,1.61,0,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,10.06896551724138,4.689655172413793,1.9803448275862068,1.0689655172413792,9,4,1.88,3,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,9.0,4.0,1.88,3.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0,14.0,3.0,1.9,0.0
